dataset,real,user,sys
buchanj-midwinter-00-t.txt,7.475,17.117,0.817
buchanj-midwinter-00-t.txt,7.590,18.709,0.748
buchanj-midwinter-00-t.txt,7.413,16.75,0.741
carman-farhorizons-00-t.txt,7.279,16.542,0.926
carman-farhorizons-00-t.txt,7.335,16.815,0.721
carman-farhorizons-00-t.txt,7.115,16.821,0.817
charlesworth-scene-00-t.txt,7.323,16.769,0.733
charlesworth-scene-00-t.txt,7.034,16.628,0.748
charlesworth-scene-00-t.txt,7.166,16.911,0.783
cheyneyp-darkbahama-00-t.txt,7.260,17.860,0.774
cheyneyp-darkbahama-00-t.txt,7.452,17.523,0.718
cheyneyp-darkbahama-00-t.txt,7.428,18.120,0.769
colby-champlain-00-t.txt,7.125,16.242,0.692
colby-champlain-00-t.txt,7.338,16.708,0.720
colby-champlain-00-t.txt,7.343,16.816,0.806
delamare-bumps-00-t.txt,7.365,18.373,0.736
delamare-bumps-00-t.txt,7.407,16.781,0.816
delamare-bumps-00-t.txt,7.380,17.245,0.778
delamare-lucy-00-t.txt,7.416,18.243,0.761
delamare-lucy-00-t.txt,7.225,16.861,0.779
delamare-lucy-00-t.txt,7.019,16.399,0.773
delamare-myfanwy-00-t.txt,7.143,16.865,0.765
delamare-myfanwy-00-t.txt,7.147,17.408,0.694
delamare-myfanwy-00-t.txt,6.950,16.221,0.717
delamare-penny-00-t.txt,7.455,17.056,0.847
delamare-penny-00-t.txt,7.367,17.356,0.736
delamare-penny-00-t.txt,7.199,16.585,0.756
pg4300.txt,7.939,17.877,0.827
pg4300.txt,8.146,18.268,0.705
pg4300.txt,8.080,18.033,0.775

